"cod_prd_ref";"note_ref";"Indicateur_moyen_Brut";"PourcNote";"PourcNoteCohorte";"PourcNoteCohorte5"
"        2015T2";2;0,601183181;0,0191292323164599;0,152242788060697;0,282750077423351
"        2015T2";3;0,707144634;0,0179747200461383;0,0623645155911289;0,115825332920409
"        2015T2";4;0,819919629;0,0262713345371935;0,0752042688010672;0,139671724992258
"        2015T2";5;1,011424171;0,0148336114990293;0,145239286309822;0,26974295447507
"        2015T2";6;1,05;0,0189430749647555;0,461564115391029;0
"        2015T3";1;0,362078278;0,0215697137580794;0,1027445460943;0,197363974315647
"        2015T3";2;0,515248796;0,0169711699631244;0,142505277973258;0,273741128759716
"        2015T3";3;0,706701364;0,0187917527755082;0,068789584799437;0,132139236228456
"        2015T3";4;0,802708637;0,0231257645482612;0,0698451794510908;0,134166948293342
"        2015T3";5;1,046636144;0,0132327395347253;0,136699507389163;0,262588712402839
"        2015T3";6;1,05;0,0186488003175429;0,479415904292752;0
"        2015T4";1;0,429557322;0,0220129270544783;0,107348703170029;0,198799199466311
"        2015T4";2;0,558372386;0,017830204492122;0,153278097982709;0,283855903935957
"        2015T4";3;0,710885397;0,0185995097803624;0,0697046109510086;0,129086057371581
"        2015T4";4;0,706210069;0,020504456224151;0,0634005763688761;0,117411607738492
"        2015T4";5;1,015129063;0,0138288088831363;0,146253602305476;0,270847231487658
"        2015T4";6;1,05;0,0174785453251393;0,460014409221902;0
"        2016T1";1;0,360562167;0,0205724838411819;0,107074202229912;0,202840495265841
"        2016T1";2;0,584829693;0,0166149849145156;0,152441368704344;0,288783685360524
"        2016T1";3;0,593877223;0,0161484115922526;0,0645905420991926;0,122359796067007
"        2016T1";4;0,802464087;0,0212617230733384;0,0701653210303729;0,13292061179898
"        2016T1";5;1,003864835;0,0118362342041623;0,13360246059208;0,253095411507647
"        2016T1";6;1,05;0,0168078728733524;0,472126105344098;0
"        2016T2";1;0,252554349;0,0200554016620499;0,107909379968204;0,203675918979745
"        2016T2";2;0,394923572;0,0159445189406638;0,151232114467409;0,285446361590398
"        2016T2";3;0,775020128;0,014129860143221;0,0584260731319555;0,110277569392348
"        2016T2";4;0,782188165;0,021028717888973;0,0717408585055644;0,135408852213053
"        2016T2";5;0,986213488;0,0120406008379032;0,14050079491256;0,265191297824456
"        2016T2";6;1,05;0,01619194919314;0,470190779014308;0
"        2016T3";1;0,331252879;0,0203508771929825;0,102568875651526;0,191518943343761
"        2016T3";2;0,64698969;0,0174530673818304;0,15506329113924;0,289537712895377
"        2016T3";3;0,686276895;0,0168212620752631;0,0651526433358153;0,121654501216545
"        2016T3";4;0,884214782;0,020154948447603;0,0644080416976917;0,120264164059785
"        2016T3";5;1,368346891;0,0135733505909602;0,148361876396128;0,277024678484532
"        2016T3";6;1,05;0,0170747731347778;0,464445271779598;0
"        2016T4";1;0,274838117;0,0204986149584488;0,104284103720406;0,199712126664268
"        2016T4";2;0,549494442;0,0165730807911498;0,148628335212326;0,28463476070529
"        2016T4";3;0,789467183;0,0169654443216225;0,0663284479518978;0,127024109391868
"        2016T4";4;0,757132166;0,0199801945593289;0,0644494550920706;0,123425692695214
"        2016T4";5;1,136568401;0,0125515174222555;0,13848177376926;0,265203310543361
"        2016T4";6;1,05;0,0174032657642244;0,47782788425404;0
"        2017T1";1;0,272973556;0,0187257617728532;0,103978671041838;0,204270749395649
"        2017T1";2;0,492104074;0,0167406972846128;0,163863822805578;0,321917808219178
"        2017T1";3;0,55156066;0,0150430143701639;0,0641919606234619;0,12610797743755
"        2017T1";4;0,724404124;0,0153783421681132;0,0541427399507793;0,106365834004835
"        2017T1";5;0,978754498;0,0102013011342348;0,122846595570139;0,241337630942788
"        2017T1";6;1,05;0,0163835698936505;0,490976210008203;0
"        2017T2";1;0,316832983;0,0172114496768236;0,103142983621071;0,196790540540541
"        2017T2";2;0,433865765;0,0168873617163929;0,178397521027003;0,340371621621622
"        2017T2";3;0,567765498;0,0138895563992887;0,063966356795042;0,122043918918919
"        2017T2";4;0,677983292;0,0157861012407526;0,0599822930500221;0,114442567567568
"        2017T2";5;0,982278041;0,00912837630709493;0,118636564851704;0,226351351351351
"        2017T2";6;1,05;0,0147137323606302;0,475874280655157;0
"        2017T3";1;0,25648366;0,0188365650969529;0,111280820423304;0,231082917988219
"        2017T3";2;0,478209573;0,0146454911163258;0,152520183286057;0,316719528772089
"        2017T3";3;0,578666945;0,0110539722208872;0,0501854680340388;0,104213864975079
"        2017T3";4;0,584833162;0,0136890545814644;0,0512764564695614;0,106479383778885
"        2017T3";5;1,024285801;0,0090772846486597;0,116299367226707;0,241504304485727
"        2017T3";6;1,05;0,016260385157608;0,518437704560332;0
"        2017T4";1;0,200047152;0,0179132040627886;0,101337233597994;0,208154506437768
